9292,0.25
12026,0.25
9688,0.25
4392,0.25
779,0.975
2768,0.975
2399,0.25
12225,0.975
10947,0.25
1780,0.25
11631,0.25
8478,0.975
7940,0.25
5102,0.25
1704,0.975
5967,0.25
1261,0.975
11882,0.975
3237,0.975
10222,0.975
10854,0.975
6810,0.865979
8615,0.975
6014,0.25
7161,0.975
7934,0.975
6549,0.975
2715,0.25
6139,0.975
6873,0.25
4470,0.25
9417,0.975
8911,0.25
878,0.975
10159,0.975
8553,0.25
7897,0.25
2271,0.975
6094,0.975
10906,0.25
6945,0.25
9578,0.25
1839,0.25
11121,0.25
6599,0.975
2047,0.25
6138,0.25
4267,0.975
552,0.975
400,0.975
6248,0.975
5652,0.25
9810,0.25
8888,0.975
10198,0.25
11471,0.25
10110,0.975
4105,0.25
8611,0.975
10511,0.25
5383,0.975
2143,0.975
7852,0.25
3770,0.975
4876,0.975
2212,0.975
2012,0.25
3983,0.25
2461,0.25
10397,0.25
5629,0.975
4943,0.25
10266,0.25
9386,0.975
4330,0.975
9236,0.25
7967,0.975
11760,0.975
5375,0.975
9806,0.975
5957,0.975
8877,0.975
9518,0.25
11161,0.975
3400,0.975
8492,0.25
6469,0.975
7942,0.25
5692,0.975
11641,0.25
2891,0.975
9986,0.975
5870,0.25
6521,0.25
6072,0.975
7566,0.25
9128,0.975
6760,0.25
4223,0.975
11519,0.975
11417,0.975
10001,0.25
11081,0.975
909,0.25
6856,0.975
3201,0.975
3025,0.25
7720,0.25
7112,0.975
7206,0.975
4144,0.975
2265,0.25
1757,0.975
11858,0.25
12125,0.25
9731,0.975
4536,0.25
11140,0.975
12337,0.975
3623,0.975
4246,0.975
9493,0.975
3980,0.25
1036,0.975
820,0.25
1407,0.25
941,0.25
2534,0.25
8486,0.975
12261,0.25
10847,0.975
5245,0.25
11264,0.25
2885,0.975
3841,0.25
5620,0.975
430,0.975
12182,0.975
10628,0.25
9028,0.25
5372,0.25
9447,0.25
9736,0.25
7423,0.975
3083,0.975
8643,0.975
833,0.975
6922,0.25
4898,0.975
3736,0.975
9605,0.25
905,0.25
10264,0.25
2312,0.25
6015,0.25
8921,0.25
10621,0.25
4039,0.25
4558,0.975
11410,0.25
4665,0.975
3635,0.25
303,0.25
126,0.25
1180,0.975
9359,0.25
7217,0.25
12380,0.975
1318,0.975
11415,0.25
11046,0.975
2213,0.25
1814,0.975
4845,0.25
10666,0.975
3910,0.975
10771,0.975
6311,0.25
5983,0.975
8228,0.975
4271,0.25
10449,0.975
3038,0.975
4173,0.975
3056,0.25
3105,0.975
12196,0.975
4100,0.25
8264,0.975
9235,0.25
5076,0.25
7857,0.25
9414,0.975
7510,0.975
7535,0.25
7047,0.975
7657,0.25
3531,0.25
6776,0.25
9415,0.975
2348,0.25
9771,0.975
7151,0.25
5519,0.975
4613,0.25
5161,0.25
5759,0.975
12107,0.975
4636,0.975
5997,0.975
10489,0.25
7065,0.975
9384,0.25
10269,0.975
4175,0.975
487,0.25
11965,0.25
12060,0.975
7902,0.975
4628,0.975
1497,0.975
5275,0.25
7726,0.25
9169,0.975
7030,0.25
9813,0.25
10812,0.25
10631,0.25
12350,0.975
9544,0.975
8383,0.25
2436,0.25
8117,0.975
11664,0.25
10176,0.975
9577,0.975
5633,0.975
10185,0.975
8822,0.975
9602,0.975
9587,0.25
11930,0.25
12016,0.25
2999,0.25
3323,0.975
7501,0.25
3379,0.25
8947,0.975
5290,0.25
3508,0.975
6849,0.975
4823,0.975
1447,0.911483
3844,0.975
5056,0.975
11883,0.975
3636,0.25
6131,0.25
10389,0.25
12030,0.25
6223,0.975
9877,0.25
10319,0.975
5376,0.975
4375,0.975
6805,0.25
8557,0.975
10202,0.975
8787,0.25
5705,0.975
7734,0.975
7981,0.975
8756,0.975
11612,0.25
3506,0.975
1926,0.25
9970,0.975
1957,0.25
9954,0.975
9631,0.25
18,0.975
8957,0.25
12327,0.25
4679,0.975
8622,0.975
718,0.975
4108,0.975
4205,0.25
9613,0.975
8061,0.975
3624,0.25
5989,0.975
10466,0.975
10184,0.25
7470,0.975
11838,0.975
9307,0.25
9823,0.975
777,0.975
11012,0.975
5219,0.25
8885,0.25
8898,0.975
3051,0.975
2341,0.25
10135,0.975
1120,0.25
6255,0.975
12178,0.975
6590,0.975
4816,0.975
6426,0.975
5070,0.975
3778,0.975
753,0.25
248,0.25
4794,0.975
3459,0.975
768,0.975
5624,0.25
11624,0.25
6969,0.25
8238,0.975
8050,0.975
502,0.25
7017,0.975
11870,0.975
1313,0.25
6872,0.975
383,0.975
12181,0.25
8740,0.975
2311,0.975
547,0.975
3428,0.25
796,0.25
